sp,start,end,SP_length,Cumulative
1,1/1/2014 0:00,1/31/2014 23:59,31,31
2,2/1/2014 0:00,2/28/2014 23:59,28,59
3,3/1/2014 0:00,3/31/2014 23:59,31,90
4,4/1/2014 0:00,4/30/2014 23:59,30,120
5,5/1/2014 0:00,5/31/2014 23:59,31,151
6,6/1/2014 0:00,6/30/2014 23:59,30,181
7,7/1/2014 0:00,7/31/2014 23:59,31,212
8,8/1/2014 0:00,8/31/2014 23:59,31,243
9,9/1/2014 0:00,9/30/2014 23:59,30,273
10,10/1/2014 0:00,10/31/2014 23:59,31,304
11,11/1/2014 0:00,11/30/2014 23:59,30,334
12,12/1/2014 0:00,12/31/2014 23:59,31,365
13,1/1/2015 0:00,1/31/2015 23:59,31,396
14,2/1/2015 0:00,2/28/2015 23:59,28,424
15,3/1/2015 0:00,3/31/2015 23:59,31,455
16,4/1/2015 0:00,4/30/2015 23:59,30,485
17,5/1/2015 0:00,5/31/2015 23:59,31,516
18,6/1/2015 0:00,6/30/2015 23:59,30,546
19,7/1/2015 0:00,7/31/2015 23:59,31,577
20,8/1/2015 0:00,8/31/2015 23:59,31,608
21,9/1/2015 0:00,9/30/2015 23:59,30,638
22,10/1/2015 0:00,10/31/2015 23:59,31,669
23,11/1/2015 0:00,11/30/2015 23:59,30,699
24,12/1/2015 0:00,12/31/2015 23:59,31,730
25,1/1/2016 0:00,1/31/2016 23:59,31,761
26,2/1/2016 0:00,2/29/2016 23:59,29,790
27,3/1/2016 0:00,3/31/2016 23:59,31,821
28,4/1/2016 0:00,4/30/2016 23:59,30,851
29,5/1/2016 0:00,5/31/2016 23:59,31,882
30,6/1/2016 0:00,6/30/2016 23:59,30,912
31,7/1/2016 0:00,7/31/2016 23:59,31,943
32,8/1/2016 0:00,8/31/2016 23:59,31,974
33,9/1/2016 0:00,9/30/2016 23:59,30,1004
34,10/1/2016 0:00,10/31/2016 23:59,31,1035
35,11/1/2016 0:00,11/30/2016 23:59,30,1065
36,12/1/2016 0:00,12/31/2016 23:59,31,1096
37,1/1/2017 0:00,1/31/2017 23:59,31,1127
38,2/1/2017 0:00,2/28/2017 23:59,28,1155
39,3/1/2017 0:00,3/31/2017 23:59,31,1186
40,4/1/2017 0:00,4/30/2017 23:59,30,1216
41,5/1/2017 0:00,5/31/2017 23:59,31,1247
42,6/1/2017 0:00,6/30/2017 23:59,30,1277
43,7/1/2017 0:00,7/31/2017 23:59,31,1308
44,8/1/2017 0:00,8/31/2017 23:59,31,1339
45,9/1/2017 0:00,9/30/2017 23:59,30,1369
46,10/1/2017 0:00,10/31/2017 23:59,31,1400
47,11/1/2017 0:00,11/30/2017 23:59,30,1430
48,12/1/2017 0:00,12/31/2017 23:59,31,1461
49,1/1/2018 0:00,1/31/2018 23:59,31,1492
50,2/1/2018 0:00,2/28/2018 23:59,28,1520
51,3/1/2018 0:00,3/31/2018 23:59,31,1551
52,4/1/2018 0:00,4/30/2018 23:59,30,1581
53,5/1/2018 0:00,5/31/2018 23:59,31,1612
54,6/1/2018 0:00,6/30/2018 23:59,30,1642
55,7/1/2018 0:00,7/31/2018 23:59,31,1673
56,8/1/2018 0:00,8/31/2018 23:59,31,1704
57,9/1/2018 0:00,9/30/2018 23:59,30,1734
58,10/1/2018 0:00,10/31/2018 23:59,31,1765
59,11/1/2018 0:00,11/30/2018 23:59,30,1795
60,12/1/2018 0:00,12/31/2018 23:59,31,1826
61,1/1/2019 0:00,1/31/2019 23:59,31,1857
62,2/1/2019 0:00,2/28/2019 23:59,28,1885
63,3/1/2019 0:00,3/31/2019 23:59,31,1916
64,4/1/2019 0:00,4/30/2019 23:59,30,1946
65,5/1/2019 0:00,5/31/2019 23:59,31,1977
66,6/1/2019 0:00,6/30/2019 23:59,30,2007
67,7/1/2019 0:00,7/31/2019 23:59,31,2038
68,8/1/2019 0:00,8/31/2019 23:59,31,2069
69,9/1/2019 0:00,9/30/2019 23:59,30,2099
70,10/1/2019 0:00,10/31/2019 23:59,31,2130
71,11/1/2019 0:00,11/30/2019 23:59,30,2160
72,12/1/2019 0:00,12/31/2019 23:59,31,2191
73,1/1/2020 0:00,1/31/2020 23:59,31,2222
74,2/1/2020 0:00,2/29/2020 23:59,29,2251
75,3/1/2020 0:00,3/31/2020 23:59,31,2282
76,4/1/2020 0:00,4/30/2020 23:59,30,2312
77,5/1/2020 0:00,5/31/2020 23:59,31,2343
78,6/1/2020 0:00,6/30/2020 23:59,30,2373
79,7/1/2020 0:00,7/31/2020 23:59,31,2404
80,8/1/2020 0:00,8/31/2020 23:59,31,2435
81,9/1/2020 0:00,9/30/2020 23:59,30,2465
82,10/1/2020 0:00,10/31/2020 23:59,31,2496
83,11/1/2020 0:00,11/30/2020 23:59,30,2526
84,12/1/2020 0:00,12/31/2020 23:59,31,2557
