NAME,I,J,XCOORDS,YCOORDS,ZCOORDS,Ztop,Zbot,geometry_x,botm_1,botm_2,botm_3,botm_4,botm_5,botm_6,botm_7,botm_8,botm_9,ScreenLayers
199-H3-25,186,567,577410.36,152978.49,128.447,118.175,112.07600000000001,POINT (577410.36 152978.49),116.040000915527,114.26000213623,112.48999786377,110.709999084473,109.620002746582,108.519996643066,107.430000305176,106.330001831055,92.736000061035,"Layer1, Layer2, Layer3, Layer4"
199-H3-26,199,570,577440.83,152846.5,127.99,117.33399999999999,112.756,POINT (577440.83 152846.5),116.309997558594,114.680000305176,113.059997558594,111.440002441406,109.269996643066,107.099998474121,104.930000305176,102.76000213623,88.916000366211,"Layer1, Layer2, Layer3, Layer4"
199-H3-27,202,582,577567.05,152811.14,129.03,118.124,112.031,POINT (577567.05 152811.14),116.199996948242,114.470001220703,112.73999786377,111.01000213623,108.680000305176,106.349998474121,104.019996643066,101.690002441406,88.869003295898,"Layer1, Layer2, Layer3, Layer4"
199-H3-2A,208,588,577624.63,152750.04,128.314,117.341,112.76899999999999,POINT (577624.63 152750.04),116.319999694824,114.919998168945,113.519996643066,112.120002746582,108.470001220703,104.819999694824,101.169998168945,97.516998291016,88.377998352051,"Layer1, Layer2, Layer3, Layer4"
199-H4-12A,192,626,578009.151,152912.729,127.216,117.15799999999999,112.586,POINT (578009.151 152912.729),116.519996643066,114.809997558594,113.110000610352,111.410003662109,109.069999694824,106.730003356934,104.389999389648,102.050003051758,96.001998901367,"Layer1, Layer2, Layer3, Layer4"
199-H4-15A,178,616,577904.313,153053.42,125.302,117.072,112.5,POINT (577904.313 153053.42),116.269996643066,114.51000213623,112.76000213623,111.01000213623,108.290000915527,105.559997558594,102.839996337891,100.120002746582,91.112998962402,"Layer1, Layer2, Layer3, Layer4"
199-H4-17,180,603,577779.175,153037.635,128.922,118.25399999999999,115.206,POINT (577779.175 153037.635),116.959999084473,115.819999694824,114.680000305176,113.540000915527,111.73999786377,109.930000305176,108.129997253418,106.330001831055,95.787002563477,"Layer1, Layer2, Layer3"
199-H4-18,208,627,578018.292,152756.478,129.754,117.56199999999998,114.514,POINT (578018.292 152756.478),116.599998474121,115.669998168945,114.73999786377,113.809997558594,111.800003051758,109.790000915527,107.779998779297,105.779998779297,93.235000610352,"Layer1, Layer2, Layer3, Layer4"
199-H4-4,198,632,578060.859,152853.956,127.293,117.23500000000001,114.18700000000001,POINT (578060.8590000001 152853.956),116.589996337891,115.099998474121,113.599998474121,112.110000610352,110.230003356934,108.339996337891,106.459999084473,104.580001831055,95.332000732422,"Layer1, Layer2, Layer3"
199-H4-5,190,620,577944.937,152939.783,128.058,118.30399999999999,110.38,POINT (577944.937 152939.783),116.610000610352,115.330001831055,114.050003051758,112.769996643066,110.080001831055,107.400001525879,104.709999084473,102.029998779297,96.389999389648,"Layer1, Layer2, Layer3, Layer4, Layer5"
199-H4-64,182,620,577946.11,153010.582,126.206,119.561,113.465,POINT (577946.11 153010.582),116.139999389648,114.309997558594,112.470001220703,110.639999389648,108.099998474121,105.569999694824,103.029998779297,100.5,92.582000732422,"Layer1, Layer2, Layer3"
199-H4-65,205,625,577998.259,152787.285,129.196,117.315,114.267,POINT (577998.259 152787.285),116.589996337891,115.610000610352,114.629997253418,113.650001525879,111.459999084473,109.269996643066,107.080001831055,104.900001525879,94.309997558594,"Layer1, Layer2, Layer3, Layer4"
199-H4-8,191,612,577860.691,152921.704,129.206,117.624,114.576,POINT (577860.691 152921.704),116.800003051758,115.830001831055,114.860000610352,113.879997253418,111.400001525879,108.919998168945,106.430000305176,103.949996948242,96.38200378418,"Layer1, Layer2, Layer3, Layer4"
199-H4-84,199,616,577902.58,152848.73,128.69,117.214,114.166,POINT (577902.58 152848.73),116.849998474121,115.98999786377,115.129997253418,114.269996643066,112.110000610352,109.949996948242,107.790000915527,105.629997253418,96.21199798584,"Layer1, Layer2, Layer3, Layer4, Layer5"
199-H4-85,195,624,577980.02,152880.81,128.791,120.443,114.347,POINT (577980.02 152880.81),116.910003662109,115.669998168945,114.440002441406,113.199996948242,110.610000610352,108.019996643066,105.419998168945,102.830001831055,96.420997619629,"Layer1, Layer2, Layer3, Layer4"
199-H4-86,209,596,577704.55,152745.65,129.849,119.16899999999998,111.54299999999999,POINT (577704.55 152745.65),115.940002441406,114.160003662109,112.379997253418,110.610000610352,108.099998474121,105.589996337891,103.080001831055,100.569999694824,91.047996520996,"Layer1, Layer2, Layer3, Layer4"
199-H4-88,200,611,577850.51,152833.59,131.698,120.11600000000001,115.54400000000001,POINT (577850.51 152833.59),116.949996948242,116.160003662109,115.360000610352,114.569999694824,112.449996948242,110.330001831055,108.209999084473,106.089996337891,95.828002929688,"Layer1, Layer2, Layer3"
199-H4-89,194,618,577923.32,152893.98,128.984,119.40700000000001,114.85000000000001,POINT (577923.3199999999 152893.98),116.870002746582,115.959999084473,115.050003051758,114.139999389648,111.440002441406,108.75,106.050003051758,103.349998474121,97.874000549316,"Layer1, Layer2, Layer3, Layer4"
