NAME,Row,Column,I,J,centroid_x,centroid_y,geometry
199-H4-64_0,182,621,182,621,577955.0,153015.0,"POLYGON ((577960 153020, 577960 153010, 577950 153010, 577950 153020, 577960 153020))"
199-H4-64_1,182,619,182,619,577935.0,153015.0,"POLYGON ((577940 153020, 577940 153010, 577930 153010, 577930 153020, 577940 153020))"
199-H4-64_2,183,620,183,620,577945.0,153005.0,"POLYGON ((577950 153010, 577950 153000, 577940 153000, 577940 153010, 577950 153010))"
199-H4-64_3,181,620,181,620,577945.0,153025.0,"POLYGON ((577950 153030, 577950 153020, 577940 153020, 577940 153030, 577950 153030))"
199-H4-64_4,181,621,181,621,577955.0,153025.0,"POLYGON ((577960 153030, 577960 153020, 577950 153020, 577950 153030, 577960 153030))"
199-H4-64_5,181,619,181,619,577935.0,153025.0,"POLYGON ((577940 153030, 577940 153020, 577930 153020, 577930 153030, 577940 153030))"
199-H4-64_6,183,621,183,621,577955.0,153005.0,"POLYGON ((577960 153010, 577960 153000, 577950 153000, 577950 153010, 577960 153010))"
199-H4-64_7,183,619,183,619,577935.0,153005.0,"POLYGON ((577940 153010, 577940 153000, 577930 153000, 577930 153010, 577940 153010))"
199-H4-84_0,199,617,199,617,577915.0,152845.0,"POLYGON ((577920 152850, 577920 152840, 577910 152840, 577910 152850, 577920 152850))"
199-H4-84_1,199,615,199,615,577895.0,152845.0,"POLYGON ((577900 152850, 577900 152840, 577890 152840, 577890 152850, 577900 152850))"
199-H4-84_2,200,616,200,616,577905.0,152835.0,"POLYGON ((577910 152840, 577910 152830, 577900 152830, 577900 152840, 577910 152840))"
199-H4-84_3,198,616,198,616,577905.0,152855.0,"POLYGON ((577910 152860, 577910 152850, 577900 152850, 577900 152860, 577910 152860))"
199-H4-84_4,198,617,198,617,577915.0,152855.0,"POLYGON ((577920 152860, 577920 152850, 577910 152850, 577910 152860, 577920 152860))"
199-H4-84_5,198,615,198,615,577895.0,152855.0,"POLYGON ((577900 152860, 577900 152850, 577890 152850, 577890 152860, 577900 152860))"
199-H4-84_6,200,617,200,617,577915.0,152835.0,"POLYGON ((577920 152840, 577920 152830, 577910 152830, 577910 152840, 577920 152840))"
199-H4-84_7,200,615,200,615,577895.0,152835.0,"POLYGON ((577900 152840, 577900 152830, 577890 152830, 577890 152840, 577900 152840))"
199-H4-86_0,209,597,209,597,577715.0,152745.0,"POLYGON ((577720 152750, 577720 152740, 577710 152740, 577710 152750, 577720 152750))"
199-H4-86_1,209,595,209,595,577695.0,152745.0,"POLYGON ((577700 152750, 577700 152740, 577690 152740, 577690 152750, 577700 152750))"
199-H4-86_2,210,596,210,596,577705.0,152735.0,"POLYGON ((577710 152740, 577710 152730, 577700 152730, 577700 152740, 577710 152740))"
199-H4-86_3,208,596,208,596,577705.0,152755.0,"POLYGON ((577710 152760, 577710 152750, 577700 152750, 577700 152760, 577710 152760))"
199-H4-86_4,208,597,208,597,577715.0,152755.0,"POLYGON ((577720 152760, 577720 152750, 577710 152750, 577710 152760, 577720 152760))"
199-H4-86_5,208,595,208,595,577695.0,152755.0,"POLYGON ((577700 152760, 577700 152750, 577690 152750, 577690 152760, 577700 152760))"
199-H4-86_6,210,597,210,597,577715.0,152735.0,"POLYGON ((577720 152740, 577720 152730, 577710 152730, 577710 152740, 577720 152740))"
199-H4-86_7,210,595,210,595,577695.0,152735.0,"POLYGON ((577700 152740, 577700 152730, 577690 152730, 577690 152740, 577700 152740))"
199-H4-88_0,200,612,200,612,577865.0,152835.0,"POLYGON ((577870 152840, 577870 152830, 577860 152830, 577860 152840, 577870 152840))"
199-H4-88_1,200,610,200,610,577845.0,152835.0,"POLYGON ((577850 152840, 577850 152830, 577840 152830, 577840 152840, 577850 152840))"
199-H4-88_2,201,611,201,611,577855.0,152825.0,"POLYGON ((577860 152830, 577860 152820, 577850 152820, 577850 152830, 577860 152830))"
199-H4-88_3,199,611,199,611,577855.0,152845.0,"POLYGON ((577860 152850, 577860 152840, 577850 152840, 577850 152850, 577860 152850))"
199-H4-88_4,199,612,199,612,577865.0,152845.0,"POLYGON ((577870 152850, 577870 152840, 577860 152840, 577860 152850, 577870 152850))"
199-H4-88_5,199,610,199,610,577845.0,152845.0,"POLYGON ((577850 152850, 577850 152840, 577840 152840, 577840 152850, 577850 152850))"
199-H4-88_6,201,612,201,612,577865.0,152825.0,"POLYGON ((577870 152830, 577870 152820, 577860 152820, 577860 152830, 577870 152830))"
199-H4-88_7,201,610,201,610,577845.0,152825.0,"POLYGON ((577850 152830, 577850 152820, 577840 152820, 577840 152830, 577850 152830))"
