NAME,X,Y,Row,Col,Aq
199-H3-10,577545.14,152723.52,211,580,RUM-2
199-H3-12,577842.32,152838.62,200,610,RUM-2
199-H3-13,577950.58,152815.48,202,621,RUM-2
199-H3-25,577410.36,152978.49,186,567,Unconfined
199-H3-26,577440.83,152846.5,199,570,Unconfined
199-H3-27,577567.05,152811.14,202,582,Unconfined
199-H3-2A,577624.63,152750.04,208,588,Unconfined
199-H3-30,578100.23,152712.09,212,636,RUM-2
199-H3-32,577709.81,153063.5,177,596,RUM-2
199-H4-12A,578009.1510000001,152912.729,192,626,Unconfined
199-H4-15A,577904.313,153053.42,178,616,Unconfined
199-H4-17,577779.175,153037.635,180,603,Unconfined
199-H4-18,578018.292,152756.478,208,627,Unconfined
199-H4-4,578060.8589999999,152853.956,198,632,Unconfined
199-H4-5,577944.937,152939.783,190,620,Unconfined
199-H4-64,577946.11,153010.582,182,620,Unconfined
199-H4-65,577998.259,152787.285,205,625,Unconfined
199-H4-8,577860.691,152921.704,191,612,Unconfined
199-H4-84,577902.58,152848.73,199,616,Unconfined
199-H4-85,577980.02,152880.81,195,624,Unconfined
199-H4-86,577704.55,152745.65,209,596,Unconfined
199-H4-88,577850.51,152833.59,200,611,Unconfined
199-H4-89,577923.32,152893.98,194,618,Unconfined
199-H4-90,577922.94,152592.59,224,618,RUM-2
