NAME,Well Type,Well ID,Screened Water Column Lengtha (m [ft]),Screen Interval (Depth to Top – Depth to Bottom) (m [ft])
AT-D-1-M,Aquifer Tube ,C4306 ,N/A ,N/A
C6272,Aquifer Tube ,C6272 ,N/A ,N/A
35-S,Aquifer Tube ,B8255 ,N/A ,N/A
199-D1-1,Monitoring ,C9935 ,6.3 (20.6) ,23.78-32.92 (78.01-107.99)
199-D2-11,Monitoring ,C5394 ,8.4 (27.7) ,24.41-33.56 (80.07-110.10)
199-D2-14,Monitoring ,C9718 ,6.8 (22.2) ,24.68-32.31 (80.98-106.01)
199-D5-106,Monitoring ,C5511 ,5.9 (19.4) ,20.78-31.44 (68.17-103.16)
199-D5-123,Monitoring ,C6387 ,9.9 (32.4) ,24.01-36.28 (78.76-119.02)
199-D5-133,Monitoring ,C7621 ,6.9 (22.8) ,22.86-32.00 (74.99-104.97)
199-D5-142,Monitoring ,C7857 ,2.0 (6.6) ,23.46-26.52 (76.97-87.00)
199-D5-145,Monitoring ,C8725 ,7.1 (23.3) ,22.34-34.53 (73.3-113.3)
199-D5-149,Monitoring ,C8729 ,5.8 (19.0) ,23.86-33.00 (78.27-108.27)
199-D5-15,Monitoring ,A4572 ,3.7 (12.0) ,23.5-29.93 (77.1-98.2)
199-D5-150,Monitoring ,C8730 ,5.6 (18.3) ,23.18-32.33 (76.05-106.06)
199-D5-152,Monitoring ,C8732 ,5.8 (19.1) ,18.60-27.76 (61.02-91.07)
199-D5-17,Monitoring ,A4574 ,4.2 (13.9) ,22.92-29.28 (75.2-96.05)
199-D5-33,Monitoring ,C4186 ,4.2 (13.7) ,23.32-30.83 (76.5-101.15)
199-D5-37,Monitoring ,B8745 ,1.9 (6.2) ,23.71-28.28 (77.78-92.79)
199-D5-41,Monitoring ,B8751 ,4.0 (13.0) ,24.84-30.94 (81.50-101.50)
199-D5-43,Monitoring ,B8753 ,5.7 (18.6) ,23.99-31.62 (78.7-103.73)
199-D5-44,Monitoring ,B8754 ,1.9 (6.3) ,23.56-28.13 (77.3-92.3)
199-D5-103,Extraction ,C5399 ,8.9 (29.1) ,24.48-33.56 (80.3-110.10)
199-D5-104,Extraction ,C5400 ,6.2 (20.2) ,24.38-33.53 (80.00-110.00)
199-D5-128,Injection ,C7612 ,6.1 (20) ,23.75-29.85 (77.92-97.92)
199-D5-146,Extraction ,C8726 ,6.9 (22.7) ,23.30-33.98 (76.44-111.47)
199-D5-151,Extraction ,C8731 ,5.5 (18.0) ,18.61-27.76 (61.06-91.07)
199-D5-160,Extraction ,C9542 ,5.9 (19.4) ,22.86-32.00 (75-105)
199-D5-34,Extraction ,C4187 ,4.7 (15.5) ,24.20-31.83 (79.38-104.43)
199-D5-39,Extraction ,B8748 ,4.4 (14.4) ,24.39-30.50 (80.02-100.7)
