ID,Row,Col,centroid_x,centroid_y,YCOORDS,XCOORDS,Ztop,Zbot,scLen,lenL1,lenL2,lenL3,lenL4,lenL5,lenL6,fL1,fL2,fL3,fL4,fL5,fL6,MaxFrac_Lay,Deepest_Lay,Aquifer
199-H3-25,186,567,577415.0,152975.0,152978.49,577410.36,118.175,112.07600000000001,6.099,2.1349990844726534,1.779998779296875,1.7700042724609375,0.4139978637695236,,,0.35005724,0.29185092,0.29021221,0.06787963,,,1,4.0,Unconfined
199-H3-26,199,570,577445.0,152845.0,152846.5,577440.83,117.33399999999999,112.756,4.578,1.024002441406239,1.6299972534179688,1.6200027465820312,0.3039975585937498,,,0.223679,0.35605008,0.35386692,0.06640401,,,2,4.0,Unconfined
199-H3-27,202,582,577565.0,152815.0,152811.14,577567.05,118.124,112.031,6.093,1.924003051757808,1.7299957275390625,1.7300033569335938,0.7089978637695253,,,0.3157727,0.28393168,0.28393293,0.11636269,,,1,4.0,Unconfined
199-H3-2A,208,588,577625.0,152755.0,152750.04,577624.63,117.341,112.76899999999999,4.572,1.0210003051757752,1.4000015258789062,1.4000015258789062,0.750996643066415,,,0.2233159,0.30621206,0.30621206,0.16425998,,,2,4.0,Unconfined
199-H4-12A,192,626,578005.0,152915.0,152912.729,578009.1510000001,117.15800000000002,112.58600000000001,4.572,0.6380033569336092,1.7099990844726562,1.6999969482421875,0.5240006103515498,,,0.13954579,0.37401555,0.37182785,0.11461081,,,2,4.0,Unconfined
199-H4-15A,178,616,577905.0,153055.0,153053.42,577904.313,117.072,112.5,4.572,0.8020033569335965,1.7599945068359375,1.75,0.26000213623046875,,,0.17541631,0.38495068,0.38276465,0.05686836,,,2,4.0,Unconfined
199-H4-17,180,603,577775.0,153035.0,153037.635,577779.175,118.25399999999999,115.206,3.048,1.2940009155273344,1.1399993896484375,0.6139996948242157,,,,0.42454098,0.37401555,0.20144347,,,,1,3.0,Unconfined
199-H4-18,208,627,578015.0,152755.0,152756.478,578018.292,117.56199999999998,114.514,3.048,0.9620015258788897,0.9300003051757812,0.9300003051757812,0.22599786376953546,,,0.3156173,0.30511821,0.30511821,0.07414628,,,1,4.0,Unconfined
199-H4-4,198,632,578065.0,152855.0,152853.956,578060.8589999999,117.23499999999999,114.187,3.048,0.6450036621093602,1.4899978637695312,0.912998474121096,,,,0.21161537,0.48884444,0.29954018,,,,2,3.0,Unconfined
199-H4-5,190,620,577945.0,152935.0,152939.783,577944.937,118.30399999999999,110.38,7.924,1.6939993896484251,1.279998779296875,1.279998779296875,1.2800064086914062,2.389996643066411,,0.21378084,0.16153442,0.16153442,0.16153539,0.30161492,,5,4.0,Unconfined
199-H4-64,182,620,577945.0,153015.0,153010.582,577946.11,119.561,113.465,6.096,3.421000610351569,1.8300018310546875,0.8449975585937466,,,,0.56118776,0.30019715,0.13861509,,,,1,3.0,Unconfined
199-H4-65,205,625,577995.0,152785.0,152787.285,577998.259,117.315,114.267,3.048,0.7250036621093727,0.9799957275390624,0.9800033569335938,0.3629972534179728,,,0.23786209,0.32152091,0.32152341,0.11909359,,,3,4.0,Unconfined
199-H4-8,191,612,577865.0,152925.0,152921.704,577860.691,117.62400000000002,114.57600000000002,3.048,0.8239969482422111,0.970001220703125,0.970001220703125,0.2840006103515407,,,0.27034021,0.31824187,0.31824187,0.09317605,,,2,4.0,Unconfined
199-H4-84,199,616,577905.0,152845.0,152848.73,577902.58,117.214,114.166,3.048,0.3640015258789049,0.8600006103515625,0.8600006103515625,0.8600006103515625,0.10399664306640943,,0.11942307,0.28215243,0.28215243,0.28215243,0.03411963,,2,4.0,Unconfined
199-H4-85,195,624,577985.0,152885.0,152880.81,577980.02,120.443,114.347,6.096,3.5329963378906233,1.2400054931640625,1.2299957275390625,0.0930024414062558,,,0.57955977,0.20341297,0.20177095,0.01525631,,,1,4.0,Unconfined
199-H4-86,209,596,577705.0,152745.0,152745.65,577704.55,119.16899999999998,111.54299999999999,7.626,3.2289975585937327,1.779998779296875,1.7800064086914062,0.8369972534179766,,,0.42341956,0.23341185,0.23341285,0.10975574,,,1,4.0,Unconfined
199-H4-88,200,611,577855.0,152835.0,152833.59,577850.51,120.11599999999999,115.54399999999998,4.572,3.1660030517577984,0.7899932861328125,0.6160036621093923,,,,0.69247661,0.17278943,0.13473396,,,,1,3.0,Unconfined
199-H4-89,194,618,577925.0,152895.0,152893.98,577923.32,119.40700000000001,114.85000000000001,4.557,2.5369972534179794,0.910003662109375,0.9099960327148438,0.200003051757804,,,0.55672531,0.19969358,0.19969191,0.04388919,,,1,4.0,Unconfined
