ID,Row,Col,Frac,Lay,LocalZ
199-H3-25,186,567,0.29185092,2,0.5
199-H3-25,186,567,0.29021221,3,0.5
199-H3-25,186,567,0.06787963,4,0.5
199-H3-26,199,570,0.35605008,2,0.5
199-H3-26,199,570,0.35386692,3,0.5
199-H3-26,199,570,0.06640401,4,0.5
199-H3-27,202,582,0.28393168,2,0.5
199-H3-27,202,582,0.28393293,3,0.5
199-H3-27,202,582,0.11636269,4,0.5
199-H3-2A,208,588,0.30621206,2,0.5
199-H3-2A,208,588,0.30621206,3,0.5
199-H3-2A,208,588,0.16425998,4,0.5
199-H4-12A,192,626,0.37401555,2,0.5
199-H4-12A,192,626,0.37182785,3,0.5
199-H4-12A,192,626,0.11461081,4,0.5
199-H4-15A,178,616,0.38495068,2,0.5
199-H4-15A,178,616,0.38276465,3,0.5
199-H4-15A,178,616,0.05686836,4,0.5
199-H4-17,180,603,0.37401555,2,0.5
199-H4-17,180,603,0.20144347,3,0.5
199-H4-18,208,627,0.30511821,2,0.5
199-H4-18,208,627,0.30511821,3,0.5
199-H4-18,208,627,0.07414628,4,0.5
199-H4-4,198,632,0.48884444,2,0.5
199-H4-4,198,632,0.29954018,3,0.5
199-H4-5,190,620,0.16153442,2,0.5
199-H4-5,190,620,0.16153442,3,0.5
199-H4-5,190,620,0.16153539,4,0.5
199-H4-64,182,620,0.30019715,2,0.5
199-H4-64,182,620,0.13861509,3,0.5
199-H4-65,205,625,0.32152091,2,0.5
199-H4-65,205,625,0.32152341,3,0.5
199-H4-65,205,625,0.11909359,4,0.5
199-H4-8,191,612,0.31824187,2,0.5
199-H4-8,191,612,0.31824187,3,0.5
199-H4-8,191,612,0.09317605,4,0.5
199-H4-84,199,616,0.28215243,2,0.5
199-H4-84,199,616,0.28215243,3,0.5
199-H4-84,199,616,0.28215243,4,0.5
199-H4-85,195,624,0.20341297,2,0.5
199-H4-85,195,624,0.20177095,3,0.5
199-H4-85,195,624,0.01525631,4,0.5
199-H4-86,209,596,0.23341185,2,0.5
199-H4-86,209,596,0.23341285,3,0.5
199-H4-86,209,596,0.10975574,4,0.5
199-H4-88,200,611,0.17278943,2,0.5
199-H4-88,200,611,0.13473396,3,0.5
199-H4-89,194,618,0.19969358,2,0.5
199-H4-89,194,618,0.19969191,3,0.5
199-H4-89,194,618,0.04388919,4,0.5
